Question,Class,Image
Question_001,Nitzschia,Nitzschia_fonticola_15_roi_3
Question_002,Nitzschia,Nitzschia_capitellata_40_roi_3
Question_003,Achnanthes,Achnanthes_subhudsonis_71_roi_2
Question_004,Fragilariopsis,Fragilaria_arcus_35_roi_2
Question_005,Cocconeis,Cocconeis_placentula_var_euglypta_33_roi_2
Question_006,Fragilariopsis,Fragilaria_rumpens_9_roi_1
Question_007,Nitzschia,Nitzschia_dissipata_var_media_64_roi_1
Question_008,Fragilariopsis,Fragilaria_arcus_71_roi_1
Question_009,Fragilariopsis,Fragilaria_arcus_14_roi_3
Question_010,Achnanthes,Achnanthes_subhudsonis_12_roi_3
Question_011,Cocconeis,Cocconeis_placentula_var_euglypta_61_roi_2
Question_012,Cocconeis,Cocconeis_placentula_var_euglypta_20_roi_1
Question_013,Nitzschia,Nitzschia_dissipata_var_dissipata_61_roi_1
Question_014,Navicula,Navicula_notha_63_roi_1
Question_015,Cocconeis,Cocconeis_pediculus_36_roi_1
Question_016,Navicula,Navicula_cryptotenelloides_79_roi_1
Question_017,Cocconeis,Cocconeis_placentula_var_euglypta_18_roi_2
Question_018,Fragilariopsis,Fragilaria_pararumpens_29_roi_1
Question_019,Navicula,Navicula_notha_58_roi_3
Question_020,Cocconeis,Cocconeis_placentula_var_euglypta_33_roi_2
Question_021,Cocconeis,Cocconeis_lineata_2_roi_1
Question_022,Thalassiosira,Thalassiosira_pseudonana_35_roi_2
Question_023,Fragilariopsis,Fragilaria_vaucheriae_11_roi_1
Question_024,Cocconeis,Cocconeis_placentula_var_euglypta_29_roi_2
Question_025,Thalassiosira,Thalassiosira_pseudonana_43_roi_2
Question_026,Cocconeis,Cocconeis_lineata_32_roi_1
Question_027,Thalassiosira,Thalassiosira_pseudonana_56_roi_2
Question_028,Thalassiosira,Thalassiosira_pseudonana_38_roi_4
Question_029,Cocconeis,Cocconeis_lineata_64_roi_1
Question_030,Navicula,Navicula_cryptotenella_22_roi_1
Question_031,Navicula,Navicula_capitatoradiata_32_roi_1
Question_032,Thalassiosira,Thalassiosira_pseudonana_3_roi_3
Question_033,Cocconeis,Cocconeis_placentula_var_euglypta_20_roi_1
Question_034,Nitzschia,Nitzschia_palea_var_palea_47_roi_3
Question_035,Navicula,Navicula_cryptotenella_9_roi_4
Question_036,Nitzschia,Nitzschia_fonticola_21_roi_2
Question_037,Achnanthes,Achnanthes_subhudsonis_71_roi_2
Question_038,Fragilariopsis,Fragilaria_arcus_37_roi_1
Question_039,Cocconeis,Cocconeis_placentula_var_euglypta_22_roi_2
Question_040,Fragilariopsis,Fragilaria_arcus_73_roi_1
Question_041,Thalassiosira,Thalassiosira_pseudonana_24_roi_12
Question_042,Achnanthes,Achnanthes_subhudsonis_53_roi_3
Question_043,Fragilariopsis,Fragilaria_perminuta_39_roi_1
Question_044,Achnanthes,Achnanthes_subhudsonis_54_roi_3
Question_045,Fragilariopsis,Fragilaria_vaucheriae_31_roi_3
Question_046,Fragilariopsis,Fragilaria_vaucheriae_3_roi_1
Question_047,Achnanthes,Achnanthes_subhudsonis_97_roi_1
Question_048,Cocconeis,Cocconeis_placentula_var_euglypta_60_roi_2
Question_049,Nitzschia,Nitzschia_frustulum_var_frustulum_68_roi_5
Question_050,Achnanthes,Achnanthes_subhudsonis_63_roi_7
Question_051,Navicula,Navicula_cryptotenelloides_42_roi_1
Question_052,Fragilariopsis,Fragilaria_gracilis_21_roi_1
Question_053,Nitzschia,Nitzschia_inconspicua_32_roi_4
Question_054,Achnanthes,Achnanthes_subhudsonis_61_roi_4
Question_055,Navicula,Navicula_lanceolata_66_roi_1
Question_056,Achnanthes,Achnanthes_subhudsonis_60_roi_4
Question_057,Fragilariopsis,Fragilaria_vaucheriae_6_roi_3
Question_058,Nitzschia,Nitzschia_soratensis_82_roi_1
Question_059,Fragilariopsis,Fragilaria_pararumpens_59_roi_2
Question_060,Cocconeis,Cocconeis_placentula_var_euglypta_18_roi_2
Question_061,Navicula,Navicula_cryptotenelloides_33_roi_2
Question_062,Fragilariopsis,Fragilaria_gracilis_9_roi_1
Question_063,Nitzschia,Nitzschia_umbonata_80_roi_1
Question_064,Cocconeis,Cocconeis_pediculus_51_roi_1
Question_065,Thalassiosira,Thalassiosira_pseudonana_22_roi_2
Question_066,Nitzschia,Nitzschia_inconspicua_56_roi_5
Question_067,Navicula,Navicula_tripunctata_16_roi_1
Question_068,Navicula,Navicula_tripunctata_20_roi_1
Question_069,Fragilariopsis,Fragilaria_gracilis_18_roi_1
Question_070,Achnanthes,Achnanthes_subhudsonis_6_roi_2
Question_071,Thalassiosira,Thalassiosira_pseudonana_35_roi_1
Question_072,Achnanthes,Achnanthes_subhudsonis_2_roi_6
Question_073,Navicula,Navicula_tripunctata_50_roi_1
Question_074,Cocconeis,Cocconeis_lineata_11_roi_1
Question_075,Achnanthes,Achnanthes_subhudsonis_2_roi_4
Question_076,Thalassiosira,Thalassiosira_pseudonana_12_roi_13
