Question,Class,Image
Question_001,Cocconeis,Cocconeis_lineata_41_roi_1
Question_002,Nitzschia,Nitzschia_frustulum_var_frustulum_66_roi_8
Question_003,Cocconeis,Cocconeis_lineata_48_roi_1
Question_004,Nitzschia,Nitzschia_frustulum_var_frustulum_85_roi_7
Question_005,Navicula,Navicula_notha_43_roi_1
Question_006,Achnanthes,Achnanthes_subhudsonis_2_roi_6
Question_007,Thalassiosira,Thalassiosira_pseudonana_13_roi_5
Question_008,Navicula,Navicula_cryptotenella_64_roi_2
Question_009,Cocconeis,Cocconeis_pediculus_27_roi_1
Question_010,Nitzschia,Nitzschia_paleacea_99_roi_2
Question_011,Navicula,Navicula_tripunctata_6_roi_1
Question_012,Thalassiosira,Thalassiosira_pseudonana_55_roi_3
Question_013,Navicula,Navicula_gregaria_66_roi_3
Question_014,Cocconeis,Cocconeis_placentula_var_euglypta_92_roi_1
Question_015,Nitzschia,Nitzschia_amphibia_6_roi_2
Question_016,Fragilariopsis,Fragilaria_gracilis_16_roi_1
Question_017,Thalassiosira,Thalassiosira_pseudonana_14_roi_4
Question_018,Cocconeis,Cocconeis_placentula_var_euglypta_95_roi_1
Question_019,Cocconeis,Cocconeis_pediculus_9_roi_1
Question_020,Cocconeis,Cocconeis_pediculus_13_roi_1
Question_021,Thalassiosira,Thalassiosira_pseudonana_5_roi_3
Question_022,Navicula,Navicula_lanceolata_11_roi_1
Question_023,Cocconeis,Cocconeis_placentula_var_euglypta_79_roi_1
Question_024,Cocconeis,Cocconeis_placentula_var_euglypta_11_roi_4
Question_025,Nitzschia,Nitzschia_umbonata_2_roi_1
Question_026,Achnanthes,Achnanthes_subhudsonis_12_roi_4
Question_027,Fragilariopsis,Fragilaria_pararumpens_20_roi_1
Question_028,Navicula,Navicula_gregaria_45_roi_1
Question_029,Achnanthes,Achnanthes_subhudsonis_97_roi_3
Question_030,Navicula,Navicula_tripunctata_73_roi_1
Question_031,Cocconeis,Cocconeis_placentula_var_euglypta_73_roi_1
Question_032,Nitzschia,Nitzschia_inconspicua_25_roi_8
Question_033,Nitzschia,Nitzschia_capitellata_29_roi_2
Question_034,Cocconeis,Cocconeis_placentula_var_euglypta_24_roi_1
Question_035,Nitzschia,Nitzschia_umbonata_92_roi_2
Question_036,Achnanthes,Achnanthes_subhudsonis_85_roi_1
Question_037,Nitzschia,Nitzschia_fonticola_50_roi_5
Question_038,Navicula,Navicula_cryptotenella_46_roi_3
Question_039,Navicula,Navicula_cryptotenelloides_73_roi_1
Question_040,Thalassiosira,Thalassiosira_pseudonana_12_roi_12
Question_041,Fragilariopsis,Fragilaria_arcus_87_roi_1
Question_042,Fragilariopsis,Fragilaria_vaucheriae_30_roi_2
Question_043,Achnanthes,Achnanthes_subhudsonis_92_roi_3
Question_044,Nitzschia,Nitzschia_soratensis_11_roi_1
Question_045,Achnanthes,Achnanthes_subhudsonis_35_roi_5
Question_046,Achnanthes,Achnanthes_subhudsonis_65_roi_1
Question_047,Cocconeis,Cocconeis_placentula_var_euglypta_38_roi_1
Question_048,Fragilariopsis,Fragilaria_arcus_93_roi_1
Question_049,Thalassiosira,Thalassiosira_pseudonana_15_roi_2
Question_050,Cocconeis,Cocconeis_lineata_68_roi_1
Question_051,Cocconeis,Cocconeis_pediculus_42_roi_1
Question_052,Nitzschia,Nitzschia_paleacea_20_roi_2
Question_053,Thalassiosira,Thalassiosira_pseudonana_5_roi_4
Question_054,Nitzschia,Nitzschia_inconspicua_33_roi_9
Question_055,Thalassiosira,Thalassiosira_pseudonana_5_roi_4
Question_056,Fragilariopsis,Fragilaria_rumpens_54_roi_1
Question_057,Nitzschia,Nitzschia_fossilis_62_roi_1
Question_058,Nitzschia,Nitzschia_amphibia_5_roi_1
Question_059,Thalassiosira,Thalassiosira_pseudonana_39_roi_3
Question_060,Fragilariopsis,Fragilaria_arcus_25_roi_1
